category,image_url,number_of_product_in_a_package,price_gross,price_net,product_title,product_url,quantity_in_stock,size,status
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0216-2-600x600.jpg,,"57,2","46,50",J1821 BLACK,https://e-roberto.eu/sklep/j1821-black/,372,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/RQ358.jpg,,"48,59","39,50",RQ358 BLACK,https://e-roberto.eu/sklep/rq358-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/0-02-05-e88d47b78f18795c458b238baee8633a6f6d8c0dc6db82ab22d004cee1700ca9_31e2fd0eb26835a3.jpg,,"41,21","33,50",D7756Y BLACK,https://e-roberto.eu/sklep/d7756y-black/,588,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0212-600x600.jpg,,"60,89","49,50",J2151 WHITE,https://e-roberto.eu/sklep/j2151-white/,336,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/anh_Viber_2022-02-15_18-13-04-582.jpg,,"53,51","43,50",TRAMPKI ZMIENIAJĄ KOLOR,https://e-roberto.eu/sklep/trampki-zmieniają-kolor/,1188,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0219-600x600.jpg,,"36,28","29,50",J2180 KHAKI,https://e-roberto.eu/sklep/j2180-khaki/,660,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0153-600x600.jpg,,"36,28","29,50",HR26 PINK,https://e-roberto.eu/sklep/hr26-pink/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0210-600x600.jpg,,"60,89","49,50",J2151 BEIGE,https://e-roberto.eu/sklep/j2151-beige/,720,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/536954.jpg,,"36,28","29,50",LDH006Y WHITE,https://e-roberto.eu/sklep/ldh006y-white/,480,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0483-600x600.jpg,,"36,28","29,50",LDH006Y GREY,https://e-roberto.eu/sklep/ldh006y-grey/,480,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-03_16-21-02-437.jpg,,"36,28","29,50",PG06 BLACK,https://e-roberto.eu/sklep/pg06-black/,1776,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/IMG_0717.jpg,,"48,59","39,50",TCYR-74 PINK,https://e-roberto.eu/sklep/tcyr-74-pink/,504,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-03_16-21-02-214.jpg,,"36,28","29,50",PG06 KHAKI,https://e-roberto.eu/sklep/pg06-khaki/,1656,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/khaki1-6-600x600.jpg,,"32,6","26,50",BO-802 KHAKI,https://e-roberto.eu/sklep/bo-802-khaki/,48,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/IMG_0727.jpg,,"48,59","39,50",TCYR-74 WHITE,https://e-roberto.eu/sklep/tcyr-74-white/,564,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0147-600x600.jpg,,"36,28","29,50",HR26 BEIGE,https://e-roberto.eu/sklep/hr26-beige/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0144-600x600.jpg,,"36,28","29,50",HR26 KHAKI,https://e-roberto.eu/sklep/hr26-khaki/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/271651495_923803374943165_9183877810033130493_n.jpg,,"28,91","23,50",CB857-11 FUKSJA,https://e-roberto.eu/sklep/cb857-11-fuksja/,708,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/GREEN-4.jpg,,"62,12","50,50",QT33 GREEN,https://e-roberto.eu/sklep/qt33-green/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK1-10.jpg,,"62,12","50,50",QT33 BLACK,https://e-roberto.eu/sklep/qt33-black/,360,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/black-23-600x600.jpg,,"32,6","26,50",BO-802 BLACK,https://e-roberto.eu/sklep/bo-802-black/,24,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE-12.jpg,,"94,71","77,00",RB109 BEIGE,https://e-roberto.eu/sklep/rb109-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-77.jpg,,"83,64","68,00",NC1158 BEIGE,https://e-roberto.eu/sklep/nc1158-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-1-62.jpg,,"83,64","68,00",NC1158 BLACK,https://e-roberto.eu/sklep/nc1158-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE1-3.jpg,,"62,12","50,50",QT33 BEIGE,https://e-roberto.eu/sklep/qt33-beige/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-33.jpg,,"94,71","77,00",RB109 CAMEL,https://e-roberto.eu/sklep/rb109-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-34.jpg,,"94,71","77,00",RB109 BLACK,https://e-roberto.eu/sklep/rb109-black/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/BLACK-5-600x600.jpg,,"48,59","39,50",KS-36 BLACK,https://e-roberto.eu/sklep/ks-36-black/,132,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/CAMEL-9.jpg,,"94,71","77,00",RB109 CAMEL,https://e-roberto.eu/sklep/rb109-camel/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/trampki-sneakersy-z-lancuszkiem-bezowe-sandy-2.jpg,,"32,6","26,50",6737 KHAKI,https://e-roberto.eu/sklep/6737-khaki/,36,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-15.jpg,,"92,25","75,00",DA77 BLACK,https://e-roberto.eu/sklep/da77-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-12.jpg,,"62,12","50,50",RB106 BLACK,https://e-roberto.eu/sklep/rb106-black/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/YK014.jpg,,"81,18","66,00",YK014 CAMEL,https://e-roberto.eu/sklep/yk014-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/GREEN-3.jpg,,"92,25","75,00",DA77 GREEN,https://e-roberto.eu/sklep/da77-green/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEI-1.jpg,,"62,12","50,50",RB106 BEIGE,https://e-roberto.eu/sklep/rb106-beige/,948,,
